Linear Algebra and Learning from Data,Gilbert Strang,2nd,9780692196380,Cambridge University Press,2019,  58.99 ,Pattern recognition and machine learning
Transfer Learning,"Qiang Yang , Yu Zhang , Wenyuan Dai , Sinno Jialin Pan",2nd,9781107016903,Cambridge University Press,2020,  49.99 ,Pattern recognition and machine learning
Adversarial Machine Learning,"Anthony D. Joseph , Blaine Nelson , Benjamin I. P. Rubinstein , J. D. Tygar",2nd,9781107043466,Cambridge University Press,2019, £ 64.99 ,"Communications, information theory and security"
Kernelization,"Fedor V. Fomin , Daniel Lokshtanov , Saket Saurabh , Meirav Zehavi",2nd,9781107057760,Cambridge University Press,2019,  49.99 ,"Algorithmics, complexity, computer algebra and computational geometry"
Variational Bayesian Learning Theory,"Shinichi Nakajima , Kazuho Watanabe , Masashi Sugiyama",2nd,9781107076150,Cambridge University Press,2019,  110.00 ,Pattern recognition and machine learning
Network Flow Algorithms,David P. Williamson,2nd,9781107185890,Cambridge University Press,2019,  74.99 ,"Algorithmics, complexity, computer algebra and computational geometry"
The Student's Introduction to  Mathematica  and the Wolfram Language,"Bruce F. Torrence , Eve A. Torrence",2nd,9781108406369,Cambridge University Press,2019,  39.99 ,"Scientific computing, scientific software"
Retooling Politics,"Andreas Jungherr , Gonzalo Rivero , Daniel Gayo-Avello",2nd,9781108419406,Cambridge University Press,2020,  26.99 ,"Social, educational and philosophical aspects of computing, e-publishing, HCI"
Natural Language Processing,"Yue Zhang , Zhiyang Teng",2nd,9781108420211,Cambridge University Press,2021,  53.99 ,Artificial intelligence and natural language processing
Integer Linear Programming in Computational and Systems Biology,Dan Gusfield,2nd,9781108421768,Cambridge University Press,2019,  49.99 ,Computational biology and bioinformatics
Artificial Intelligence and Social Work,"Edited by Milind Tambe , Eric Rice",2nd,9781108425995,Cambridge University Press,2019,  95.00 ,Artificial intelligence and natural language processing
"Similar Languages, Varieties, and Dialects","Edited by Marcos Zampieri , Preslav Nakov",2nd,9781108429351,Cambridge University Press,2021,  64.99 ,Artificial intelligence and natural language processing
Artificial Intelligence and Conservation,"Edited by Fei Fang , Milind Tambe , Bistra Dilkina , Andrew J. Plumptre",2nd,9781108464734,Cambridge University Press,2019,  39.99 ,Artificial intelligence and natural language processing
Mathematics for Machine Learning,"Marc Peter Deisenroth , A. Aldo Faisal , Cheng Soon Ong",2nd,9781108470049,Cambridge University Press,2020,  74.99 ,Pattern recognition and machine learning
A Hands-On Introduction to Data Science,Chirag Shah,2nd,9781108472449,Cambridge University Press,2020,  39.99 ,"Knowledge management, databases, datamining"
Boolean Functions for Cryptography and Coding Theory,Claude Carlet,2nd,9781108473804,Cambridge University Press,2021,  64.99 ,"Cryptography, cryptology and coding"
Data Mining and Machine Learning,"Mohammed J. Zaki , Wagner Meira, Jr",2nd,9781108473989,Cambridge University Press,2020,  57.99 ,"Knowledge management, databases, datamining"
Mining of Massive Datasets,"Jure Leskovec , Anand Rajaraman , Jeffrey David Ullman",2nd,9781108476348,Cambridge University Press,2020,  59.99 ,Pattern recognition and machine learning
Time and Causality across the Sciences,Edited by Samantha Kleinberg,2nd,9781108476676,Cambridge University Press,2019,  49.99 ,"Knowledge management, databases, datamining"
Small Summaries for Big Data,"Graham Cormode , Ke Yi",2nd,9781108477444,Cambridge University Press,2020,  42.99 ,"Knowledge management, databases, datamining"
Next-Generation Ethics,Edited by Ali E. Abbas,2nd,9781108480413,Cambridge University Press,2019,  74.99 ,"Social, educational and philosophical aspects of computing, e-publishing, HCI"
Essentials of Pattern Recognition,Jianxin Wu,2nd,9781108483469,Cambridge University Press,2020,  49.99 ,Pattern recognition and machine learning
Model Checking Quantum Systems,"Mingsheng Ying , Yuan Feng",2nd,9781108484305,Cambridge University Press,2021, £ 49.99 ,Programming languages and applied logic
The Age of Algorithms,"Serge Abiteboul , Gilles Dowek",2nd,9781108484572,Cambridge University Press,2020,  39.99 ,"Algorithmics, complexity, computer algebra and computational geometry"
Foundations of Data Science,"Avrim Blum , John Hopcroft , Ravindran Kannan",2nd,9781108485067,Cambridge University Press,2020,  38.99 ,Pattern recognition and machine learning
Finite-State Techniques,"Stoyan Mihov , Klaus U. Schulz",2nd,9781108485418,Cambridge University Press,2019,  59.99 ,Programming languages and applied logic
Sentiment Analysis,Bing Liu,2nd,9781108486378,Cambridge University Press,2020,  59.99 ,Artificial intelligence and natural language processing
Bandit Algorithms,"Tor Lattimore , Csaba Szepesvári",2nd,9781108486828,Cambridge University Press,2020,  39.99 ,Pattern recognition and machine learning
Foundations of Probabilistic Programming,"Edited by Gilles Barthe , Joost-Pieter Katoen , Alexandra Silva",2nd,9781108488518,Cambridge University Press,2020,  49.99 ,Programming languages and applied logic
Exploring Malicious Hacker Communities,"Ericsson Marin , Mohammed Almukaynizi , Soumajyoti Sarkar , Eric Nunes , Jana Shakarian , Paulo Shakarian , Foreword by Edward G. Amoroso",2nd,9781108491594,Cambridge University Press,2021, £ 47.99 ,"Communications, information theory and security"
Algorithm Design with Haskell,"Richard Bird , Jeremy Gibbons",2nd,9781108491617,Cambridge University Press,2020,  49.99 ,"Algorithmics, complexity, computer algebra and computational geometry"
